Vehicle_Identification_Number (ID),Make (full_name_of_manufacturer),Model (full_model_name),Year_of_Manufacture (year),Mileage (kilometres_per_litre),Total_Weight (kilograms),Engine_Power(kilowatts),Tyre_Pressure_Front_Left (kilopascals),Tyre_Pressure_Front_Right (kilopascals),Tyre_Pressure_Rear_Left (kilopascals),Tyre_Pressure_Rear_Right (kilopascals),"Gear_Position While_Running (integer, 1-6)",Road_Incline (degrees),Fuel_Type - Ethanol_Rating (percent_ethanol_by_volume),Engine_Temperature (degrees_Celsius),Ambient_Temperature (degrees Celsius),Acceleration_Used (meters_per_second squared),Wind_Direction (degrees_from_North),Wind_Speed (meters_per_second),Transmission_Type (Manual transmission/Automatic transmission),Cubic_Capacity (cubic_centimetres),Number_of_Cylinders (count),Aerodynamic_Drag_Coefficient (dimensionless),Tire_Rolling_Resistance_Coefficient (dimensionless),Fuel_Consumption Measurement Distance (kilometres)
V1000,Hyundai,i20,2005,25.45,1494.0,100.5,217.7,217.2,229.0,230.5,4,1.41,85.0,93.3,22.2,1.13,114.0,2.86,Manual transmission,1698.0,4,0.224,0.005,100.0
V1029,Toyota,Corolla,2005,21.64,885.0,108.0,219.4,220.2,209.6,205.5,1,0.27,5.0,82.2,29.0,1.79,323.0,1.09,Manual transmission,1529.0,3,0.294,0.0058,100.0
V1061,Toyota,Corolla,2005,22.17,1355.0,102.7,221.9,224.0,197.7,198.0,6,2.1,0.0,97.2,15.9,1.05,168.0,3.07,Automatic transmission,1611.0,4,0.398,0.0088,100.0
V1066,Mahindra,XUV300,2005,22.26,1225.0,90.80206185567009,210.0,209.4,231.6,232.9,2,1.71,10.0,93.4,33.4,2.24,351.0,2.59,Manual transmission,1583.0,6,0.288,0.0111,100.0
V1000,Hyundai,i20,2005,25.45,1494.0,100.5,217.7,217.2,229.0,230.5,4,1.41,85.0,93.3,22.2,1.13,114.0,2.86,Manual transmission,1698.0,4,0.224,0.005,100.0
V1056,Honda,City,2006,25.56,963.0,95.5,221.7,222.7,213.5,218.4,5,1.91,5.0,86.8,21.3,1.06,20.0,1.54,Automatic transmission,1480.0,4,0.379,0.0133,100.0
V1030,Hyundai,i20,2006,25.65,1004.0,98.0,214.7,213.1,208.7,206.6,3,1.66,10.0,82.8,36.8,1.53,263.0,1.45,Manual transmission,1474.0,4,0.331,0.0087,100.0
V1008,Hyundai,i20,2006,18.55,1720.0,99.9,219.48163265306124,230.3,198.1,197.0,5,0.3,0.0,87.0,15.7,1.55,40.0,0.91,Manual transmission,1816.0,4,0.344,0.0062,100.0
V1041,Tata,Nexon,2006,23.46,1517.0,94.2,222.2,220.6,215.7,219.5,2,4.04,0.0,99.6,21.9,0.71,244.0,2.31,Manual transmission,1544.0,3,0.323,0.0123,100.0
V1006,Ford,Figo,2006,23.57,1089.0,102.0,216.1,213.2,213.6,214.1,2,0.02,0.0,88.6,16.5,1.16,63.0,1.99,Automatic transmission,1538.0,4,0.28,0.0085,100.0
